benchmark,missing_gt,crashed,timed_out,time,detected_all,expected_results,actual_results,shellcheck_codes,line_numbers
benchmarks/commits/unset_var_set_u_2/posix.sh,False,False,False,0.04071833333000541,True,unbound_setu,unbound_setu,,15
benchmarks/commits/makefile/posix.sh,False,False,False,0.9932451248168945,True,word_split_del_sys_file;word_split_del_sys_file,unbound;word_split_del_sys_file;del_sys_file;unbound;unbound;word_split_del_sys_file;del_sys_file;unbound;unbound;word_split;unbound;function_use_before_def;unsat_precond;unsat_precond;unsat_precond;dead_code;dead_code;loop_once;unbound;function_use_before_def;unbound;unbound,word_split_del_sys_file;word_split_del_sys_file,24;74;74;74;74;79;79;79;79;87;87;92;106;112;113;122;129;158;158;158;210;210
benchmarks/commits/debootstrap_2/posix.sh,False,False,True,10.860355916433036,False,word_split_del_sys_file,unbound;unbound,,13;130
benchmarks/commits/unset_var_7/posix.sh,False,False,False,0.06789016583934426,True,unbound,unbound,unbound,10
benchmarks/commits/debootstrap/posix.sh,False,False,True,10.214557291939855,False,word_split_del_sys_file,unbound;unbound;unbound;unbound;unbound;unbound,unused_loop_var,7;24;96;110;121;233
benchmarks/commits/const_cond/posix.sh,False,False,False,0.559845126233995,True,const_cond,unbound;unbound;loop_once;dead_code;const_cond,const_cond,5;39;39;42;42
benchmarks/commits/unset_var_set_u_1/posix.sh,False,False,False,4.917318542022258,True,unbound_setu,dead_code;unbound_setu;unbound_setu;unbound_setu;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;dead_code;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unbound_setu;unbound_setu,,-1;16;18;23;27;27;29;29;31;31;34;34;36;37;37;38;38;43;44
benchmarks/commits/ignored_command_v/posix.sh,False,False,True,20.15548254130408,True,not_a_command,dead_code;unsat_precond;unbound;unbound;unbound;unsat_precond;unbound;unsat_precond;unbound;unbound;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unbound;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unbound;not_a_command,,-1;29;34;38;40;52;57;58;64;77;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;81;84;113
benchmarks/commits/unset_var_3/posix.sh,False,False,True,17.592508416622877,True,unbound,function_use_before_def;unbound;unsat_precond;unsat_precond;unsat_precond,unbound,10;25;25;33;42
benchmarks/commits/unset_var_2/posix.sh,False,False,False,0.07080312492325902,True,unbound,unbound,unbound,10
benchmarks/commits/unset_var_5/posix.sh,False,False,False,5.558015334419906,True,unbound,unsat_precond;unbound;unbound;dead_code;const_cond;dead_code;const_cond;const_cond;dead_code;unbound;function_use_before_def;unbound;unsat_precond;function_use_before_def;unbound;unbound;unbound;unbound;function_use_before_def;unbound;dead_code;unbound;unbound;unbound;unbound;dead_code;dead_code;dead_code;unbound,unbound,6;10;22;28;28;28;28;30;30;36;43;44;71;76;79;80;81;83;85;85;85;85;86;100;114;174;174;174;174
benchmarks/commits/unset_func/posix.sh,False,False,False,0.5095244995318353,True,function_use_before_def,dead_code;dead_code;unbound;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;dead_code;dead_code;dead_code;unbound;unbound,function_use_before_def,-1;5;6;6;6;13;17;19;27;33;33;38;38;46;49;54;61;64;69;75;82;82;82;107;107
benchmarks/milestone_2/unset_var-const_if-dead_code/posix.sh,False,False,False,0.03307529166340828,True,unbound,unbound;unbound;unbound;unbound,unbound,6;7;11;12
benchmarks/milestone_2/loop_once-loop_once/posix.sh,False,False,False,0.1333642089739442,True,loop_once;loop_once,loop_once;loop_once;unexpected_stdin,,8;15;21
benchmarks/milestone_2/rm_root/posix.sh,False,False,False,0.08557479176670313,True,not_a_command;not_a_command;not_a_command;not_a_command;not_a_command;not_a_command;not_a_command;unbound;word_split;del_sys_file;del_sys_file;unbound;unbound;unbound;unbound;unbound;unbound;unbound,not_a_command;not_a_command;not_a_command;not_a_command;not_a_command;not_a_command;not_a_command;unbound;unbound;del_sys_file;word_split;del_sys_file;word_split_del_sys_file;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound,not_a_command;not_a_command;not_a_command;not_a_command;not_a_command;not_a_command;not_a_command;unbound;word_split;del_sys_file;del_sys_file;unbound;unbound;unbound;unbound;unbound;unbound;unbound,4;5;6;7;8;9;10;11;12;12;12;12;12;13;13;14;14;14;14;15;15;15;15;16;16
benchmarks/milestone_2/loop_once/posix.sh,False,False,False,0.012293125037103891,True,loop_once,loop_once,,6
benchmarks/high_profile/c02-n/posix.sh,False,False,True,10.429922208655626,True,,not_a_command;unbound;word_split_del_sys_file;word_split;word_split_del_sys_file;del_sys_file;del_sys_file;del_sys_file;del_sys_file;word_split_del_sys_file;word_split;function_use_before_def;word_split;function_use_before_def;word_split_del_sys_file;word_split;word_split;not_a_command;not_a_command;unbound;infinite_loop;infinite_loop,,1;118;145;145;145;145;145;145;145;145;192;229;230;234;249;249;249;319;330;349;364;376
benchmarks/high_profile/c01-bumblebee/posix.sh,False,False,True,10.339945791754872,True,del_sys_file,unbound;unbound;unbound;unbound;del_sys_file,del_sys_file,1;84;289;322;350
benchmarks/high_profile/c03-backup_manager/posix.sh,False,False,True,17.378120165783912,False,const_cond;const_cond,unbound;unbound;unbound;unbound;unbound;unexpected_stdin;function_use_before_def;unbound;unbound;unbound;unbound;unbound;word_split;unbound;word_split;word_split;unbound;function_use_before_def;function_use_before_def;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;word_split;unbound;unbound;unbound;unbound;unbound;word_split;word_split;function_use_before_def;unbound;unbound;unbound;unbound;function_use_before_def;function_use_before_def;unbound;function_use_before_def;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;function_use_before_def;unbound;unbound;function_use_before_def;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;unbound;unbound;unbound;unbound;function_use_before_def;unbound;unbound;unbound;unbound;unbound;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;word_split;function_use_before_def;word_split;function_use_before_def;word_split;function_use_before_def;unbound;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;function_use_before_def;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;function_use_before_def;unbound;unbound;function_use_before_def;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;unbound;function_use_before_def;unbound;unbound;function_use_before_def;unbound;function_use_before_def;function_use_before_def;unbound;function_use_before_def;function_use_before_def;function_use_before_def;function_use_before_def;unbound;function_use_before_def;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def;unbound;unbound;unbound;unbound;unbound;unbound;function_use_before_def,const_cond;const_cond,32;39;43;43;43;47;59;65;66;66;68;81;85;88;91;95;110;113;116;129;134;134;140;146;152;160;167;170;171;171;171;172;172;172;183;190;196;197;197;197;205;207;227;227;227;227;228;230;232;246;277;285;296;307;318;319;319;319;319;319;334;335;335;335;335;344;365;375;375;383;384;388;388;406;407;413;413;428;428;451;461;474;476;478;478;479;479;479;479;482;482;483;483;483;483;486;486;487;487;487;487;490;490;491;491;491;491;498;498;498;519;527;528;538;539;546;547;560;562;562;563;563;563;563;563;566;566;567;567;567;567;567;570;573;573;574;574;574;574;574;577;580;580;581;581;581;581;581;584;587;587;590;593;593;594;594;594;594;594;594;601;601;601;608;612;617;617;621;621;621;627;627;627;631;631;641;644;648;654;656;656;656;656;660;660;669;670;674;675;675;675;680;686;688;692;695;711;713;714;716;719;719;719;722;724;729;729;742;744;754;802;807;817;826;832;848;850;853;856;857;861;862;864;870;886;890;890;890;896;904;908;910;913;913;913;914;916;916;916;917;919;939;944;958;961;961;961;961;962;964;967;967;967;970;970;970;973;989;993;999;999;999;1001;1002
benchmarks/high_profile/w00-itunes/posix.sh,False,False,False,0.03366458369418979,True,word_split,word_split,word_split,5
benchmarks/high_profile/w01-squid/posix.sh,False,False,True,10.053728917147964,True,,unbound;unbound;command_can_only_fail;unbound;word_split;unbound;word_split;word_split_del_sys_file;word_split;word_split_del_sys_file,word_split_del_sys_file;word_split;word_split_del_sys_file;word_split,45;55;65;65;111;131;131;131;144;144
benchmarks/high_profile/c00-steam/posix.sh,False,False,True,10.285842541605234,True,word_split_del_sys_file,unbound;unbound;unbound;unbound;command_can_only_fail;loop_once;word_split;word_split_del_sys_file;unbound;command_can_only_fail;word_split;word_split;word_split;unbound;unbound;unbound;unexpected_stdin,word_split_del_sys_file,4;19;25;38;273;354;359;359;419;437;451;452;453;472;477;480;485
benchmarks/web_forums/rm_root_2/posix.sh,False,False,True,11.904704083222896,True,word_split_del_sys_file,unsat_precond;unsat_precond;unsat_precond;word_split_del_sys_file;unsat_precond,word_split_del_sys_file,13;14;23;24;24
benchmarks/web_forums/capturing_empty_output/posix.sh,False,False,False,0.03622595872730017,True,capturing_empty_output,capturing_empty_output,,11
benchmarks/web_forums/unexpected_stdin/posix.sh,False,False,False,0.1399126248434186,True,unexpected_stdin;unexpected_stdin,unexpected_stdin;unexpected_stdin,,3;4
benchmarks/web_forums/unset_var-cmd_always_fails/posix.sh,False,False,False,1.6431707916781306,True,unbound;command_can_only_fail,unbound;unbound;unbound;unbound;command_can_only_fail;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unbound;unsat_precond;unsat_precond;unsat_precond;unbound,unbound,7;9;14;16;16;18;18;18;18;18;18;18;18;18;18;18;18;18;21;21
benchmarks/web_forums/unset_var/posix.sh,False,False,False,0.019835541024804115,True,unbound,unbound;unbound;unbound;unbound,unbound,3;4;5;6
benchmarks/simple_fs/cd_into_file/posix.sh,False,False,False,0.8348757908679545,True,unsat_precond,const_cond;dead_code;unsat_precond;unsat_precond;unsat_precond,,6;6;12;19;22
benchmarks/simple_fs/access_after_mv/posix.sh,False,False,False,1.1815334581770003,True,unsat_precond,unbound;unsat_precond;unbound;not_a_command;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unsat_precond;unbound;unsat_precond;unsat_precond;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound,,33;38;42;44;49;50;51;52;53;55;56;57;66;66;66;67;67;67;68;68;68;68;68
benchmarks/simple_fs/overwrite_file/posix.sh,False,False,False,0.06907429080456495,True,unsat_precond;unsat_precond,unsat_precond;unsat_precond,,3;5
benchmarks/simple_fs/overwrite_file_4/posix.sh,False,False,False,0.033758291974663734,True,unsat_precond;unsat_precond,unsat_precond;unsat_precond,,7;8
benchmarks/simple_fs/overwrite_file_3/posix.sh,False,False,False,0.184516376350075,True,unsat_precond,unsat_precond;unsat_precond;unsat_precond,,8;8;9
benchmarks/simple_fs/overwrite_file_2/posix.sh,False,False,False,0.10117812501266599,True,unsat_precond;unsat_precond,unsat_precond;unsat_precond;unsat_precond;unsat_precond,,9;10;10;15
benchmarks/simple_fs/access_del_resource/posix.sh,False,False,False,0.17326350091025233,True,unsat_precond,unsat_precond;unsat_precond,,9;10
benchmarks/milestone_1/const_loop/posix.sh,False,False,False,0.12727616634219885,True,infinite_loop,infinite_loop,,11
benchmarks/milestone_1/redir_to_func-redir_to_func/posix.sh,False,False,False,0.08811145788058639,True,redir_func;redir_func,unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound;redir_func;redir_func,,12;12;12;18;18;18;22;22;22;25;25
benchmarks/milestone_1/unset_var_1/posix.sh,False,False,False,0.33968058321624994,True,unbound;unbound;unbound,unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound,unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound,37;57;60;61;62;63;64;65
benchmarks/milestone_1/loop_once-useless_test/posix.sh,False,False,False,0.03923287568613887,True,loop_once,loop_once;unsat_precond,,6;11
